ticker,pcd,year,runup,window
AQST,2020-06-25,2020,0.0768866053225199,0.39041925926968424
BTAI,2025-08-15,2025,0.48455202907905387,-0.47776418707211976
BTAI,2023-04-21,2023,-0.4631461527801246,-0.06096487473257106
BTAI,2020-05-06,2020,0.43836789779964036,0.2843236187036151
BTAI,2020-05-21,2020,0.39993371556819124,0.15342016066015773
BTAI,2023-09-11,2023,-1.026103415509323,0.362003292746472
ALKS,2023-09-06,2023,-0.03340301445235072,0.051305911005452565
ALKS,2020-02-26,2020,-0.1340805468417332,-0.07988635410306388
ALKS,2019-03-12,2019,-0.09728811141313054,-0.14155939163597386
ALKS,2021-12-01,2021,-0.2848946653083928,0.4012459052144357
ALKS,2020-05-01,2020,-0.20801134346032413,0.050825557269035926
ALKS,2017-11-20,2017,-0.015724664479513262,0.10340420474399892
ALKS,2017-11,2017,-0.05919238471255328,0.067070661879717
ALKS,2019-10-17,2019,-0.04105865968242961,-0.10811843898733686
ALKS,2018-06-29,2018,-0.12250554542412972,0.06384829672667447
ALKS,2017-05-25,2017,-0.029747373680116596,-0.1530060748702704
VRCA,2018-11-26,2018,0.07675140168094252,-0.2692409572625305
VRCA,2018-09-26,2018,0.10720159469445445,-0.10905850581964582
CFRXQ,2022-09-09,2022,-0.38564009004327415,-0.4318385825806965
URGN,2023-04-26,2023,-0.049793500276500424,0.13883659171252605
URGN,2019-04-05,2019,-0.15489192691046538,0.042977058544025226
URGN,2023-03-17,2023,0.36175549274006924,0.044302681221451756
URGN,2023-02-02,2023,-0.10510048009990802,0.29937057196809036
URGN,2025-09-11,2025,0.056103345694335616,0.04025266840020025
URGN,2020-03-31,2020,-0.26943859729045405,-0.010588837677765639
SCYX,2025-11-07,2025,-0.6081695851902797,-0.1946015247507551
SCYX,2023-04-14,2023,0.9549106219107646,-0.33618986260248773
SCYX,2021-09-01,2021,-0.11498363975528125,-0.20834288091267883
SCYX,2023-05-16,2023,0.32996310374130156,-0.07350984499200042
SCYX,2023-08-25,2023,0.024678126934333022,-0.31480605962674524
SCYX,2020-03-29,2020,0.06655376160972537,-0.2397449632440276
SCYX,2019-08-21,2019,-0.14578549569705235,0.14079474001532954
LXRX,2019-08-06,2019,-1.2544953067048055,0.7915078821945808
LXRX,2019-05-16,2019,0.3333135853228708,-0.19959794208655435
LXRX,2019-03-25,2019,0.3611265484697177,-0.10773776242520228
LXRX,2019-04-17,2019,0.0813889349157133,0.035405699757850684
LXRX,2019-04-22,2019,0.1356860205350512,0.016004674364606952
LXRX,2019-05-22,2019,0.2691301234127186,-0.24604560437993372
LXRX,2020-06-05,2020,-0.1886812790119522,-0.17158169704259607
LXRX,2019-02-26,2019,-0.43831374318311234,0.08404162624980271
LXRX,2018-09-12,2018,-0.13922591818078622,-0.0731468002566773
LXRX,2019-05-16,2019,0.3333135853228708,-0.19959794208655435
LXRX,2019-09-17,2019,-1.3112743745559692,0.8479533852851351
LXRX,2020-07-08,2020,-0.020921305913961796,-0.17235439372877936
LXRX,2017-04,2017,-0.07872488983288317,-0.010150223229750122
PRTA,2018-05,2018,-1.0243352381936672,0.1789069882657519
PRTA,2025-04-02,2025,-0.06969199681732663,-0.9188000120704722
VTGN,2022-06-22,2022,-0.15802368184074078,-1.7805303294028987
VTGN,2022-08-16,2022,-1.9492937783498812,-0.09178310527400635
VTGN,2025-10-31,2025,0.05563907777158694,-1.9377440047060301
VTGN,2022-09-23,2022,0.21124952722205337,-0.1742913075082726
VTGN,2026-04-21,2026,-0.053178796045529,0.11956845328801136
TBPH,2026-01,2026,0.07873995550863455,-0.27415902872914577
TBPH,2021-10-27,2021,-0.01263302667985755,0.3610562977372629
TBPH,2021-07-21,2021,-0.23602987891703142,-0.7101986722765083
TBPH,2021-11-10,2021,0.10409416500809177,0.7325025446860205
TBPH,2021-10-20,2021,0.0022587693464704017,0.4171158550207301
TBPH,2021-11-12,2021,0.1803292907518137,0.5208639737392606
EGRX,2019-08-14,2019,0.025463030615502813,0.20377412453077914
AGIO,2020-11-12,2020,0.042105067367195215,-0.08178639064082249
AGIO,2024-12-13,2024,0.27856312366194036,-0.5017258979538046
AGIO,2024-04-11,2024,0.0639284821029924,0.5103547500302792
AGIO,2020-10-09,2020,-0.13311991944359214,0.027963646510805518
AGIO,2024-07-03,2024,0.24746365095254408,-0.054926122198281746
AGIO,2024-05-03,2024,0.22051530714354328,0.1768346242680776
AGIO,2025-10-30,2025,0.023002598098965432,-0.5725525857064917
AGIO,2023-11-13,2023,-0.06605238186454887,-0.23160743858718513
SVRA,2023-11-30,2023,0.023068980378600168,0.09343401322092348
SVRA,2020-07-28,2020,-0.31231194443887966,-0.4698552665727778
SVRA,2021-01-14,2021,-0.08817425833115161,0.33034751073686963
VTVT,2018-06-01,2018,0.8009469868381074,-0.30698558560133415
VTVT,2018-06-01,2018,0.8009469868381074,-0.30698558560133415
ARDS,2024-07-08,2024,-0.007370451205586992,-4.171460460373993
ARDS,2022-10-28,2022,-0.4347522554485092,-0.04548671315330424
ACAD,2024-01-25,2024,0.08671075630504799,-0.501309802743219
ACAD,2025-02-14,2025,0.1030494480171229,-0.05388556035375647
ACAD,2025-12-19,2025,0.06588934008776004,-0.12529776612069332
ACAD,2022-08-19,2022,-0.09206525025018308,0.1315807314368187
ACAD,2019-05-28,2019,0.036721495439273166,-0.125898230854935
ACAD,2023-06-30,2023,0.10700885155147066,0.24045477605646504
